Issue Date
Flags:  0=Forecast, 1=Estimated, 2=Observed

Date_Time                   F10          Kp     F10Flag      KpFlag  F10_41dAvg   24HrKpAvg    NHemiPow NHemiPowIdx    SHemiPow SHemiPowIdx       SW_Bt    SW_Angle SW_Velocity       SW_Bz      SW_Den
2013-03-16T17:49:00Z 124.8000000   1.6465889           2           1 112.1505882   2.7782689  63.1150000          -1  63.1150000          -1   5.8979064  88.9291755 434.2000000   0.0200000   4.4300000
2013-03-16T17:50:00Z 124.8000000   1.6484444           2           1 112.1505882   2.7802444  63.2170000          -1  63.2170000          -1   5.7600434 106.5688292 434.2000000  -0.3600000   4.4300000
2013-03-16T17:51:00Z 124.8000000   1.6503000           2           1 112.1505882   2.7822200  61.8910000          -1  61.8910000          -1   5.8012585  79.9118302 435.4000000   0.2900000   4.7200000
2013-03-16T17:52:00Z 124.8000000   1.6521556           2           1 112.1505882   2.7841956  61.5850000          -1  61.5850000          -1   5.8514101  65.9610657 435.4000000   0.6200000   4.7200000
2013-03-16T17:53:00Z 124.8000000   1.6540111           2           1 112.1505882   2.7861711  61.6870000          -1  61.6870000          -1   5.8166485  34.1249418 435.4000000   1.2100000   4.7200000
2013-03-16T17:54:00Z 124.8000000   1.6558667           2           1 112.1505882   2.7881467  60.8710000          -1  60.8710000          -1   5.8242510  37.4835583 435.4000000   1.6300000   4.7200000
2013-03-16T17:55:00Z 124.8000000   1.6577222           2           1 112.1505882   2.7901222  60.3610000          -1  60.3610000          -1   5.8159522  49.1401946 442.9000000   1.7300000   4.2800000
2013-03-16T17:56:00Z 124.8000000   1.6595778           2           1 112.1505882   2.7920978  58.7290000          -1  58.7290000          -1   4.7341314  49.4556028 442.9000000   1.4200000   4.2800000
2013-03-16T17:57:00Z 124.8000000   1.6614333           2           1 112.1505882   2.7940733  55.4650000          -1  55.4650000          -1   4.6663476  51.8143529 442.9000000   1.4000000   4.2800000
2013-03-16T17:58:00Z 124.8000000   1.6632889           2           1 112.1505882   2.7960489  53.8330000          -1  53.8330000          -1   4.7695073 316.3574658 442.9000000   1.0800000   4.2800000
