Adjusted F10.7 flux from the LASP penticton radio data

Downloaded from 1965/01/01 in csv format
https://lasp.colorado.edu/lisird/data/penticton_radio_flux/

Converted with IDL:
logfilename='penticton_radio_flux.csv'
read_log_data
jul2greg, wlog(*,0), month, day, year, hour, minute
openw,1,'f107new.txt'
for i=0,n_elements(year)-1 do $
   printf,1,year(i),month(i),day(i),hour(i),minute(i),wlog(i,1), $
   format='(i4,4i3,f7.1)'
close,1

year mo dy hr mn f107
#START
1967  1 28 16 48  156.2
1967  1 29 16 48  158.2
1967  1 30 16 48  159.1
1967  1 31 16 48  156.4
1967  2  1 16 48  151.6
1967  2  2 16 48  143.6
1967  2  3 16 48  138.9
1967  2  4 16 48  137.3
1967  2  5 16 48  146.8
1967  2  6 16 48  148.9
1967  2  7 16 48  162.5
1967  2  8 16 48  148.3
1967  2  9 16 48  146.0
1967  2 10 16 48  140.5
1967  2 11 16 48  133.8
1967  2 12 16 48  133.0
1967  2 13 16 48  130.0
1967  2 14 16 48  129.2
1967  2 15 16 48  126.6
1967  2 16 16 48  125.0
1967  2 17 16 48  122.3
1967  2 18 16 48  124.2
1967  2 19 16 48  121.1
1967  2 20 16 48  128.6
1967  2 21 16 48  131.9
1967  2 22 16 48  146.1
1967  2 23 16 48  149.3
1967  2 24 16 48  162.3
1967  2 25 16 48  159.5
1967  2 26 16 48  173.4
1967  2 27 16 48  176.7
1967  2 28 16 48  180.3
1967  3  1 16 48  194.2
1967  3  2 16 48  197.7
1967  3  3 16 48  196.4
1967  3  4 16 48  205.8
1967  3  5 16 48  179.2
1967  3  6 16 48  177.3
1967  3  7 16 48  163.8
1967  3  8 16 48  156.0
1967  3  9 16 48  158.0
1967  3 10 16 48  148.4
1967  3 11 16 48  141.7
1967  3 12 16 48  134.2
1967  3 13 16 48  129.2
1967  3 14 16 48  127.1
1967  3 15 16 48  132.5
1967  3 16 16 48  132.0
1967  3 17 16 48  132.6
1967  3 18 16 48  132.2
1967  3 19 16 48  135.9
1967  3 20 16 48  140.4
1967  3 21 16 48  147.1
1967  3 22 16 48  149.6
1967  3 23 16 48  155.6
1967  3 24 16 48  161.9
1967  3 25 16 48  169.2
1967  3 26 16 48  163.8
1967  3 27 16 48  162.8
1967  3 28 16 48  180.7
1967  3 29 16 48  178.5
1967  3 30 16 48  175.8
1967  3 31 16 48  167.7
1967  4  1 16 48  158.6
1967  4  2 16 48  141.1
1967  4  3 16 48  133.3
1967  4  4 16 48  125.0
1967  4  5 16 48  122.1
1967  4  6 16 48  119.0
1967  4  7 16 48  126.3
1967  4  8 16 48  135.7
1967  4  9 16 48  133.4
1967  4 10 16 48  130.3
1967  4 11 16 48  131.1
1967  4 12 16 48  129.9
1967  4 13 16 48  126.8
1967  4 14 16 48  133.5
1967  4 15 16 48  124.0
1967  4 16 16 48  126.1
1967  4 17 16 48  125.9
1967  4 18 16 48  128.5
1967  4 19 16 48  126.6
1967  4 20 16 48  127.1
1967  4 21 16 48  134.0
1967  4 22 16 48  131.5
1967  4 23 16 48  128.0
1967  4 24 16 48  130.5
1967  4 25 16 48  132.9
1967  4 26 16 48  125.4
1967  4 27 16 48  129.1
1967  4 28 16 48  135.0
1967  4 29 16 48  137.4
1967  4 30 16 48  135.3
1967  5  1 16 48  136.6
1967  5  2 16 48  131.8
1967  5  3 16 48  126.4
