Observation time: 1998.05.01_11:12:30
Central Carrington longitude: 135.1
B0 angle & Nmax:       -4.1948652          90
      34       8     -1.76294    -0.975547
      34       9    -0.881760     -1.82529
      34      10     -1.07848     -1.44053
      34      11     -1.65673      1.04773
      34      12     -1.14229     0.739657
      34      13      1.56376     0.939142
      34      14      1.68097     -1.52317
      34      15    -0.698415     -2.35304
      34      16     -1.79888   -0.0649820
      34      17     0.979107      3.11722
      34      18     0.792803      1.16382
      34      19      3.58199      1.44791
      34      20     -2.56888     -1.15276
      34      21     0.173676    -0.742993
      34      22      2.66102     0.665848
      34      23      2.34530      2.25373
      34      24     0.621691    -0.375551
      34      25     -6.23154     -2.24042
      34      26     0.388346     0.523558
      34      27    -0.241351     0.631782
      34      28     0.430829    -0.757510
      34      29     -1.66288     -1.68438
      34      30      2.58669     0.224338
      34      31     -2.87333     -2.70110
      34      32    -0.562496     -5.87011
      34      33     -1.38486     -2.08228
      34      34    -0.661545     -1.46266
      35       0     -1.12508      0.00000
      35       1    -0.539523    -0.494689
      35       2    -0.643738     0.678417
      35       3     -1.48652     0.869418
      35       4      2.31459     0.353734
      35       5    -0.575013     0.227922
      35       6     -1.68733    -0.359269
      35       7    -0.762275   -0.0642286
      35       8      1.30938      1.05847
      35       9      3.81806     -2.43968
      35      10      1.19614     -1.45923
      35      11     -1.03256      1.20988
      35      12    -0.111773     0.791808
      35      13    -0.498521      1.08359
      35      14      1.45578     -1.53518
      35      15     -1.08497     0.661505
      35      16     0.320698     0.413664
      35      17     -1.61130      1.41682
      35      18     -2.38853      3.10097
      35      19     -1.25261     -2.30812
      35      20    -0.856249    -0.593159
      35      21     0.467154     -1.02022
      35      22      1.09654     0.637950
      35      23     -2.15196      1.98264
      35      24   0.00883408     -3.89228
      35      25      1.04526   0.00782571
      35      26      2.44288     -1.45401
      35      27    -0.363478      2.71775
      35      28    -0.871847      3.83977
      35      29     -1.69474     -7.90611
      35      30    -0.772510    -0.909830
      35      31     -5.42858      3.07648
      35      32      6.76709      1.38216
      35      33      1.36465      2.07227
      35      34      1.54104      4.73802
      35      35     0.580164     0.750277
      36       0     -1.38369      0.00000
      36       1     -1.12959     -1.79532
      36       2   0.00652814     0.443946
      36       3      1.46481      2.03949
      36       4    -0.102753    -0.267339
      36       5     -1.40447    0.0828668
      36       6     0.120906     -1.02209
      36       7    -0.108186     -2.17901
      36       8    -0.632258     0.900664
      36       9    -0.168229      2.04937
      36      10     0.335819      3.73212
      36      11      2.41486      1.28781
      36      12    -0.291150    -0.711513
      36      13     -2.29041     -2.72079
      36      14     -1.16150     -1.01368
      36      15      1.43325    -0.217566
      36      16      3.12139      1.52840
      36      17     -1.33195     -1.64200
