Coefficients order=90 center=CT2039:180
Observation time: 2006.02.01_14:17:32
B0 angle & Nmax:        0          90





Max Harmonic Order:90   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)
      29       6     -1.05394     0.523264
      29       7     0.840982  -0.00655390
      29       8    0.0105207     0.501578
      29       9    -0.918133      2.07524
      29      10      1.91417    -0.488704
      29      11     -2.29249     0.249570
      29      12      2.12626     0.234601
      29      13     0.845038     -1.19917
      29      14    -0.313282     0.562975
      29      15      1.44881   -0.0306656
      29      16     -2.68110     -1.69847
      29      17    -0.598608    -0.612825
      29      18      1.02843     -3.27195
      29      19     -1.33636      1.97930
      29      20      1.63628      1.13212
      29      21     -3.35550     0.238755
      29      22      1.31566     0.142926
      29      23      1.52841     -3.52118
      29      24      2.72177      3.91014
      29      25    -0.735231    0.0631719
      29      26     -5.72298      1.76672
      29      27      2.19415     -5.02908
      29      28      1.92806      4.16246
      29      29    -0.508243     -1.26303
      30       0     0.111795      0.00000
      30       1    -0.794523     -1.85956
      30       2     0.388884   -0.0855162
      30       3    -0.853383     -1.95752
      30       4     -1.53093     0.707787
      30       5    -0.298329     0.569926
      30       6    -0.434213     -1.81947
      30       7    -0.307210      1.06772
      30       8      1.04959     0.206474
      30       9    -0.536791     -1.10293
      30      10     0.878011      1.64359
      30      11     0.301164     -1.30884
      30      12    -0.795543    -0.469711
      30      13     0.564851    -0.342474
      30      14   -0.0457909     -3.70693
      30      15   0.00774386      2.86065
      30      16     0.632928    -0.516394
      30      17     -2.64992      2.23916
      30      18     0.465069     0.357007
      30      19     0.908264     -3.39044
      30      20      1.36020     0.848706
      30      21      4.43781     -1.17785
      30      22     -3.23444      1.72933
      30      23      1.18262    -0.607943
      30      24     -3.01569     -3.55014
      30      25      4.68934     0.724607
      30      26      2.38837     0.185877
      30      27     -2.89493      4.14441
      30      28    -0.102932     -6.50605
      30      29     0.439777     0.882832
      30      30   0.00942287     0.374861
      31       0      1.07893      0.00000
      31       1      1.01319    -0.377968
      31       2     -1.12927      1.16052
      31       3   -0.0101848      1.68124
      31       4   -0.0783185     0.646413
      31       5     -1.61280      1.25701
      31       6      1.18786    -0.176560
      31       7    -0.499938     0.776861
      31       8     -1.01930      1.54702
      31       9      1.62073    -0.776913
      31      10     -1.21590    -0.597663
      31      11      1.27435     0.865587
      31      12    -0.788748    -0.644152
      31      13     -1.59741      2.34328
      31      14      1.21194     0.790284
      31      15     -2.15325     -1.94816
      31      16      1.83416      1.84922
      31      17      1.54842    -0.366726
      31      18     -2.22119      2.39032
      31      19      1.76961     0.914695
      31      20     -2.54136     -3.24234
      31      21      1.43338    0.0186793
      31      22      1.98888     -2.69314
      31      23    -0.794671      3.38781
      31      24    -0.170849     0.819983
      31      25     -3.90558     -1.97959
      31      26      4.37219    -0.929820
      31      27      1.43429     -1.72877
      31      28     0.817370      6.69112
      31      29     -4.50581     -3.17071
      31      30      4.18742      2.36462
      31      31     0.192558      1.63398
      32       0    -0.621285      0.00000
      32       1     0.419099      1.94922
      32       2    -0.755378    0.0216294
      32       3    -0.321902      2.02665
      32       4      1.01932     0.308100
      32       5    -0.488993    -0.101693
      32       6     0.651108     0.903138
      32       7      2.40099     0.716028
      32       8    -0.847396     0.173879
      32       9    -0.271582      2.41774
      32      10     -1.20843     -1.02208
      32      11     -1.23580   -0.0314305
      32      12      1.50226     0.727995
      32      13     0.498541     -1.42554
      32      14    -0.224367      2.86514
      32      15      1.63365     -1.31982
      32      16     -1.49613 -0.000846611
      32      17      1.46563     -1.46987
      32      18      1.59567     -2.54786
      32      19     -2.91021      2.80103
      32      20      1.46453     0.221433
      32      21     -5.47966    0.0539403
      32      22      1.06258    -0.246886
      32      23     0.538131     -2.75498
      32      24      2.68995      2.28304
      32      25     0.633741     0.725995
      32      26     -4.15232     0.672649
      32      27     0.753457     -3.01857
      32      28    -0.538764     -1.57297
      32      29      5.62954      4.60408
      32      30     -5.51078      2.55014
      32      31      5.76161     -1.39423
      32      32     -1.79164      1.30371
      33       0      2.37970      0.00000
      33       1    -0.592954      1.94996
      33       2     0.795160     0.351941
      33       3     0.882106    -0.326931
      33       4    -0.564870     0.385067
      33       5      1.06083    -0.603361
      33       6     -1.63757     -2.15198
      33       7     0.377162     0.269598
      33       8      1.40173     -1.17800
      33       9    -0.745007    0.0582128
      33      10      1.65882      1.36016
