PEDERSEN CONDUCTANCE COEFFICIENTS
From RIDLEY ET AL (2004)

#DIMENSIONS
24	nMlt
16	nLat

Lat	MLT	A0_up	A0_do	A1_up	A1_do	A2_up	A2_do

#START
68.0	2.0	10.34	10.05	7.20	7.33	0.05	0.05
68.0	3.0	10.30	10.45	7.05	7.34	0.06	0.05
68.0	4.0	9.62	9.94	6.41	6.84	0.06	0.05
68.0	5.0	10.94	10.55	7.25	7.31	0.05	0.05
68.0	6.0	12.22	11.75	8.19	8.17	0.05	0.06
68.0	7.0	12.72	12.97	8.53	9.30	0.05	0.07
68.0	8.0	11.58	11.65	7.83	7.78	0.05	0.07
68.0	9.0	10.14	9.55	7.07	6.06	0.06	0.07
68.0	10.0	7.74	8.30	5.09	5.30	0.07	0.07
68.0	11.0	7.16	6.39	4.79	3.78	0.08	0.07
68.0	12.0	7.63	6.54	5.30	3.98	0.07	0.07
68.0	13.0	8.63	7.14	5.99	4.20	0.06	0.07
68.0	14.0	10.31	7.50	7.53	4.38	0.05	0.07
68.0	15.0	9.74	7.05	6.90	4.11	0.05	0.07
68.0	16.0	9.27	6.70	6.59	4.15	0.05	0.07
68.0	17.0	8.99	6.66	6.70	4.27	0.05	0.06
68.0	18.0	11.38	7.41	8.84	4.85	0.04	0.07
68.0	19.0	11.85	8.14	8.96	5.34	0.04	0.07
68.0	20.0	11.45	9.00	8.27	6.11	0.04	0.07
68.0	21.0	12.79	10.89	9.37	7.69	0.03	0.05
68.0	22.0	12.45	11.09	9.15	7.64	0.04	0.04
68.0	23.0	13.26	12.18	9.97	8.74	0.04	0.04
66.0	0.0	16.66	12.20	12.91	8.85	0.04	0.06
66.0	1.0	14.32	10.88	10.72	7.63	0.04	0.06
66.0	2.0	12.94	10.90	9.11	7.20	0.05	0.06
66.0	3.0	13.25	11.32	9.36	7.08	0.05	0.06
66.0	4.0	12.99	11.22	8.43	6.73	0.05	0.06
66.0	5.0	13.80	11.78	8.46	7.06	0.04	0.06
66.0	6.0	14.15	12.42	9.04	7.60	0.04	0.06
66.0	7.0	13.28	11.58	8.91	7.43	0.04	0.07
66.0	8.0	9.78	9.23	6.53	5.86	0.06	0.07
66.0	9.0	6.96	7.04	4.65	4.20	0.09	0.06
66.0	10.0	6.61	5.76	4.58	3.31	0.09	0.07
66.0	11.0	7.31	4.93	5.29	2.64	0.10	0.07
66.0	12.0	8.19	6.09	5.92	3.71	0.10	0.07
66.0	13.0	9.43	6.58	6.86	3.80	0.09	0.06
66.0	14.0	9.98	8.22	7.48	5.25	0.14	0.05
66.0	15.0	8.85	8.82	6.54	6.15	0.13	0.04
66.0	16.0	7.77	7.98	5.60	5.77	0.11	0.04
66.0	17.0	7.66	7.21	5.79	5.18	0.06	0.04
66.0	18.0	9.80	8.77	7.73	6.50	0.04	0.04
66.0	19.0	9.90	9.63	7.23	6.81	0.05	0.05
66.0	20.0	11.30	9.28	7.88	5.90	0.04	0.06
