HALL CONDUCTANCE COEFFICIENTS (Smoothed)
Conductance Model for Extreme Events (CMEE)
Developed by Agnit Mukhopadhyay (March 2019)

#DIMENSIONS
24	nMlt
16	nLat

Lat	MLT	A0_up	A0_do	A1_up	A1_do	A2_up	A2_do

#START
64.0	12.00	4.61	4.56	3.64	3.59	0.20	0.07
64.0	13.00	4.66	4.96	3.72	4.08	0.22	0.07
64.0	14.00	4.58	5.35	3.79	4.57	0.19	0.05
64.0	15.00	3.71	5.71	3.02	5.03	0.21	0.05
64.0	16.00	6.81	9.83	5.55	8.57	0.13	0.04
64.0	17.00	8.02	10.87	6.74	9.59	0.12	0.04
64.0	18.00	12.50	11.68	10.79	9.98	0.09	0.04
64.0	19.00	24.78	19.31	22.57	17.10	0.06	0.04
64.0	20.00	29.65	24.48	25.92	20.76	0.04	0.05
64.0	21.00	30.49	29.20	24.85	23.56	0.04	0.05
64.0	22.00	30.84	28.77	23.77	22.26	0.04	0.06
64.0	23.00	32.96	35.89	25.58	28.51	0.04	0.07
62.0	0.00	24.98	21.51	21.45	17.79	0.04	0.07
62.0	1.00	24.92	17.99	20.87	14.29	0.04	0.10
62.0	2.00	24.42	16.96	21.02	13.56	0.05	0.08
62.0	3.00	23.95	20.92	21.20	18.16	0.05	0.06
62.0	4.00	23.73	17.96	21.36	15.58	0.05	0.06
62.0	5.00	20.60	16.80	18.61	14.80	0.05	0.04
62.0	6.00	17.65	13.67	15.56	11.58	0.06	0.08
62.0	7.00	12.80	9.87	10.81	8.04	0.10	0.08
62.0	8.00	9.32	7.31	8.05	6.04	0.15	0.09
62.0	9.00	5.29	4.16	4.16	3.02	0.17	0.09
62.0	10.00	5.14	3.76	4.59	3.17	0.18	0.08
62.0	11.00	4.63	3.85	4.12	3.29	0.20	0.07
62.0	12.00	4.93	3.95	4.36	3.35	0.23	0.07
62.0	13.00	4.49	4.13	3.92	3.56	0.27	0.07
62.0	14.00	3.88	4.60	3.31	4.03	0.31	0.05
62.0	15.00	3.22	4.43	2.68	3.88	0.29	0.04
62.0	16.00	3.46	5.62	2.87	5.04	0.19	0.04
62.0	17.00	5.61	7.30	4.82	6.52	0.20	0.04
62.0	18.00	9.08	10.92	8.06	9.86	0.13	0.04
62.0	19.00	18.66	14.04	17.34	12.72	0.10	0.04
62.0	20.00	28.91	20.71	27.29	18.94	0.07	0.05
62.0	21.00	30.39	22.27	27.74	19.62	0.04	0.06
62.0	22.00	29.86	23.66	26.84	20.64	0.04	0.06
62.0	23.00	25.03	18.41	21.64	15.02	0.04	0.07
60.0	0.00	24.92	17.99	21.39	14.47	0.04	0.12
60.0	1.00	24.42	16.96	20.55	13.09	0.05	0.12
60.0	2.00	23.95	16.31	21.20	13.55	0.05	0.08
60.0	3.00	23.95	16.31	22.06	14.42	0.04	0.05
60.0	4.00	23.50	20.38	21.61	18.49	0.05	0.08
60.0	5.00	15.08	12.65	13.09	10.65	0.06	0.05
60.0	6.00	12.80	9.75	10.81	7.76	0.13	0.07
60.0	7.00	12.66	7.32	11.11	5.76	0.13	0.10
60.0	8.00	5.99	3.92	5.33	3.25	0.15	0.11
60.0	9.00	5.14	3.92	4.59	3.38	0.18	0.09
60.0	10.00	4.86	3.90	4.35	3.39	0.20	0.08
60.0	11.00	4.81	3.90	4.30	3.39	0.23	0.07
60.0	12.00	4.49	3.99	3.92	3.42	0.27	0.06
60.0	13.00	3.88	4.12	3.31	3.55	0.31	0.05
60.0	14.00	3.22	4.24	2.78	3.79	0.29	0.05
60.0	15.00	2.89	4.61	2.43	4.15	0.33	0.04
60.0	16.00	4.69	7.58	3.77	6.67	0.20	0.04
60.0	17.00	5.61	9.78	4.59	8.77	0.20	0.03
60.0	18.00	14.53	10.97	13.52	9.96	0.14	0.04
60.0	19.00	22.80	16.39	21.79	15.37	0.09	0.04
60.0	20.00	29.33	22.44	27.71	20.82	0.06	0.06
60.0	21.00	22.49	15.89	19.84	13.24	0.04	0.06
60.0	22.00	25.03	18.41	21.64	15.02	0.03	0.08
60.0	23.00	25.03	18.41	21.64	15.02	0.04	0.10
