Equatorial Region (ABS(MLAT) < 15 degrees)
==========================================

***************************************************
Lower-band chorus
kp < 2
***************************************************

         MLT          L         B_wave^2
         (h)                    (pT^2)

      5.50000      4.65000      9.69172
      5.50000      4.75000      6.59476
      5.50000      4.85000      5.75789
      5.50000      4.95000      16.1446
      5.50000      5.05000      13.0428
      5.50000      5.15000      24.1202
      5.50000      5.25000      10.4214
      5.50000      5.35000      95.3155
      5.50000      5.45000      9.10381
      5.50000      5.55000      50.5195
      5.50000      5.65000      52.1818
      5.50000      5.75000      1159.45
      5.50000      5.85000      977.974
      5.50000      5.95000      511.968
      5.50000      6.05000      399.358
      5.50000      6.15000      296.478
      5.50000      6.25000      378.778
      5.50000      6.35000      266.500
      5.50000      6.45000      28.4888
      5.50000      6.55000      18.4692
      5.50000      6.65000     0.247500
      5.50000      6.75000      99999.0
      5.50000      6.85000      99999.0
      5.50000      6.95000      99999.0
      5.50000      7.05000      99999.0
      5.50000      7.15000      99999.0
      5.50000      7.25000      99999.0
      5.50000      7.35000      99999.0
      5.50000      7.45000      99999.0
      5.50000      7.55000      99999.0
      5.50000      7.65000      99999.0
      5.50000      7.75000      99999.0
      5.50000      7.85000      99999.0
      5.50000      7.95000      99999.0
      6.50000      1.05000      99999.0
      6.50000      1.15000      99999.0
      6.50000      1.25000      99999.0
      6.50000      1.35000      99999.0
      6.50000      1.45000      99999.0
      6.50000      1.55000      99999.0
      6.50000      1.65000      99999.0
      6.50000      1.75000      99999.0
      6.50000      1.85000      99999.0
      6.50000      1.95000     0.342785
      6.50000      2.05000    0.0953873
      6.50000      2.15000      16.8722
      6.50000      2.25000     0.147782
      6.50000      2.35000      10.1958
      6.50000      2.45000      32.4060
      6.50000      2.55000      18.8115
      6.50000      2.65000      18.5356
      6.50000      2.75000      2.87419
      6.50000      2.85000      1.13022
      6.50000      2.95000     0.614428
      6.50000      3.05000     0.851542
      6.50000      3.15000      1.07623
      6.50000      3.25000      1.78589
      6.50000      3.35000      2.55561
      6.50000      3.45000      3.86891
      6.50000      3.55000      3.63641
      6.50000      3.65000      3.68329
      6.50000      3.75000      4.48384
      6.50000      3.85000      5.53545
      6.50000      3.95000      1.80826
      6.50000      4.05000      3.19872
      6.50000      4.15000      3.59247
      6.50000      4.25000      10.5049
      6.50000      4.35000      4.20391
      6.50000      4.45000      3.60582
      6.50000      4.55000      14.1975
      6.50000      4.65000      22.8870
      6.50000      4.75000      38.3769
      6.50000      4.85000      30.2151
      6.50000      4.95000      39.8800
      6.50000      5.05000      127.512
      6.50000      5.15000      126.571
      6.50000      5.25000      143.917
      6.50000      5.35000      34.8006
      6.50000      5.45000      44.4656
      6.50000      5.55000      56.0598
      6.50000      5.65000      37.3154
      6.50000      5.75000      58.6453
      6.50000      5.85000      82.0801
      6.50000      5.95000      91.8343
      6.50000      6.05000      221.494
      6.50000      6.15000      589.769
      6.50000      6.25000      283.755
      6.50000      6.35000      28.9497
      6.50000      6.45000      29.9829
      6.50000      6.55000      144.014
      6.50000      6.65000      90.2575
      6.50000      6.75000      99999.0
      6.50000      6.85000      99999.0
      6.50000      6.95000      99999.0
      6.50000      7.05000      99999.0
      6.50000      7.15000      99999.0
      6.50000      7.25000      99999.0
      6.50000      7.35000      99999.0
      6.50000      7.45000      99999.0
      6.50000      7.55000      99999.0
      6.50000      7.65000      99999.0
      6.50000      7.75000      99999.0
      6.50000      7.85000      99999.0
      6.50000      7.95000      99999.0
      7.50000      1.05000      99999.0
      7.50000      1.15000      99999.0
      7.50000      1.25000      99999.0
      7.50000      1.35000      99999.0
      7.50000      1.45000      99999.0
      7.50000      1.55000   0.00187322
      7.50000      1.65000      99999.0
      7.50000      1.75000     0.516434
      7.50000      1.85000     0.283922
      7.50000      1.95000    0.0113754
      7.50000      2.05000    0.0156708
      7.50000      2.15000    0.0252509
      7.50000      2.25000      1.18931
      7.50000      2.35000      5.52206
      7.50000      2.45000      1.74723
      7.50000      2.55000      7.05966
      7.50000      2.65000      1.35338
      7.50000      2.75000     0.442624
      7.50000      2.85000     0.412562
      7.50000      2.95000     0.509104
      7.50000      3.05000     0.359266
      7.50000      3.15000     0.627804
      7.50000      3.25000      1.11180
      7.50000      3.35000      1.57598
      7.50000      3.45000      1.96741
      7.50000      3.55000      3.94377
      7.50000      3.65000      4.15337
      7.50000      3.75000      4.30311
      7.50000      3.85000      3.38803
      7.50000      3.95000      3.79803
      7.50000      4.05000      6.46898
      7.50000      4.15000      2.22700
      7.50000      4.25000      2.84141
      7.50000      4.35000      13.4841
      7.50000      4.45000      34.9903
      7.50000      4.55000      10.7967
      7.50000      4.65000      9.26457
      7.50000      4.75000      54.3268
      7.50000      4.85000      60.2627
      7.50000      4.95000      56.9534
      7.50000      5.05000      1.56134
      7.50000      5.15000      7.04578
      7.50000      5.25000      107.534
      7.50000      5.35000      242.747
      7.50000      5.45000      44.1833
      7.50000      5.55000      50.6744
      7.50000      5.65000      16.0963
      7.50000      5.75000      17.0785
      7.50000      5.85000      714.482
      7.50000      5.95000      438.933
      7.50000      6.05000      197.947
      7.50000      6.15000      284.810
      7.50000      6.25000      24.7955
      7.50000      6.35000      23.5228
      7.50000      6.45000      56.4184
      7.50000      6.55000      170.219
      7.50000      6.65000      99999.0
      7.50000      6.75000      99999.0
      7.50000      6.85000      99999.0
      7.50000      6.95000      99999.0
      7.50000      7.05000      99999.0
      7.50000      7.15000      99999.0
      7.50000      7.25000      99999.0
      7.50000      7.35000      99999.0
      7.50000      7.45000      99999.0
      7.50000      7.55000      99999.0
      7.50000      7.65000      99999.0
      7.50000      7.75000      99999.0
      7.50000      7.85000      99999.0
      7.50000      7.95000      99999.0
      8.50000      1.05000      99999.0
      8.50000      1.15000      99999.0
      8.50000      1.25000      99999.0
      8.50000      1.35000      99999.0
      8.50000      1.45000  9.95063e-05
      8.50000      1.55000      99999.0
      8.50000      1.65000   0.00192813
      8.50000      1.75000   0.00239171
      8.50000      1.85000   0.00309398
      8.50000      1.95000   0.00334451
      8.50000      2.05000    0.0303308
      8.50000      2.15000     0.471992
      8.50000      2.25000     0.422075
      8.50000      2.35000     0.215360
      8.50000      2.45000      1.24769
      8.50000      2.55000      1.53147
      8.50000      2.65000      2.93272
      8.50000      2.75000      5.34555
      8.50000      2.85000      1.79246
      8.50000      2.95000     0.416427
      8.50000      3.05000     0.139222
      8.50000      3.15000    0.0984557
      8.50000      3.25000     0.420406
      8.50000      3.35000      1.67663
      8.50000      3.45000      3.26412
      8.50000      3.55000      1.91806
      8.50000      3.65000      2.28151
      8.50000      3.75000      42.0850
      8.50000      3.85000      21.1698
      8.50000      3.95000      7.32471
      8.50000      4.05000     0.319089
      8.50000      4.15000      1.27209
